z,charge,chargesum
2.237137421249505209e+00,-1.272815632502719528e-03,2.000546801610700743e-03
2.309303144515618023e+00,-1.269552780306683597e-03,1.908928606995364185e-03
2.381468867781731280e+00,-1.217430282620765147e-03,1.821071870123968164e-03
2.453634591047844538e+00,-1.121787086004391067e-03,1.740117293711875793e-03
2.525800314313957351e+00,-9.873661234631190067e-04,1.668863303283701569e-03
2.597966037580070608e+00,-8.193248443051517980e-04,1.609736133304524820e-03
2.670131760846183866e+00,-6.233850957424228421e-04,1.564749096996957602e-03
2.742297484112296679e+00,-4.077429423527028697e-04,1.535324032655421790e-03
2.814463207378409937e+00,-1.836951243338174342e-04,1.522067541147413333e-03
2.886628930644523194e+00,3.502311472568499310e-05,1.524595009552624433e-03
2.958794653910635564e+00,2.328316995005185104e-04,1.541397477546357616e-03
3.030960377176748821e+00,3.926195375301775171e-04,1.569731150440629780e-03
3.103126100442861635e+00,4.957451046948544750e-04,1.605506954476568996e-03
3.175291823708974892e+00,5.535549065673895644e-04,1.645454644676510279e-03
3.247457546975088150e+00,5.812186004957226905e-04,1.687398705357002083e-03
3.319623270241200963e+00,6.390752403686109908e-04,1.733518032299668013e-03
3.391788993507314220e+00,7.493084740789965077e-04,1.787592420281006135e-03
3.463954716773427478e+00,8.981128010378611063e-04,1.852405380142458204e-03
3.536120440039540291e+00,9.989497464128614841e-04,1.924495311098842459e-03
3.608286163305653549e+00,9.545751321892629411e-04,1.993382915925126248e-03
3.680451886571766806e+00,7.170728058461575119e-04,2.045130993593475329e-03
3.752617609837879620e+00,3.452780287252174866e-04,2.070048232264328110e-03
3.824783333103992877e+00,-2.934986193912239805e-05,2.067930178249730890e-03
3.896949056370106135e+00,-2.835396895772787119e-04,2.047468331476737322e-03
3.969114779636218948e+00,-3.599617418197522778e-04,2.021491432030185324e-03
4.041280502902331762e+00,-2.852551313384255331e-04,2.000905789161777464e-03
4.113446226168444575e+00,-1.497235227148803753e-04,1.990100882855107885e-03
4.185611949434558277e+00,-4.268112777523185070e-06,1.989792871409536753e-03
4.257777672700671090e+00,1.010354214011576998e-04,1.997084165670447945e-03
4.329943395966783903e+00,1.618838385432835652e-04,2.008766629964018387e-03
4.402109119232897605e+00,1.791512528295284513e-04,2.021695209698491646e-03
4.474274842499010418e+00,1.594359675524922350e-04,2.033201021611549895e-03
4.546440565765124120e+00,1.088901540517509659e-04,2.041059158335252911e-03
4.618606289031236045e+00,3.240838335884878079e-05,2.043397932760229914e-03
4.690772012297348859e+00,-6.215285545054485730e-05,2.038912626993586753e-03
4.762937735563462560e+00,-1.718263750573407122e-04,2.026512652361379604e-03
4.835103458829575374e+00,-2.934611489912341870e-04,2.005334816293922757e-03
4.907269182095689075e+00,-4.206064136606208034e-04,1.974981450241737775e-03
