z,potential
3.463954716773427478e+00,9.996215480109829077e-01
3.536120440039540291e+00,9.995955326646118744e-01
3.608286163305653549e+00,9.995695403806686974e-01
3.680451886571766806e+00,9.995482133916407941e-01
3.752617609837879620e+00,9.995269713648856635e-01
3.824783333103992877e+00,9.995023377057662417e-01
3.896949056370106135e+00,9.994654689643416301e-01
3.969114779636218948e+00,9.994125128600915842e-01
4.041280502902331762e+00,9.993447255169835008e-01
4.113446226168444575e+00,9.992649609347573625e-01
4.185611949434558277e+00,9.991796948876958684e-01
4.257777672700671090e+00,9.990963920781965601e-01
4.329943395966783903e+00,9.990202070756208919e-01
4.402109119232897605e+00,9.989552696939131282e-01
4.474274842499010418e+00,9.989023743714900982e-01
4.546440565765124120e+00,9.988633145396144108e-01
4.618606289031236045e+00,9.988366812971541941e-01
4.690772012297348859e+00,9.988215362965697786e-01
4.762937735563462560e+00,9.988158585559870906e-01
4.835103458829575374e+00,9.988172043843539516e-01
4.907269182095689075e+00,9.988235749168468125e-01
4.979434905361801889e+00,9.988323159213019498e-01
5.051600628627914702e+00,9.988414907905284190e-01
5.123766351894027515e+00,9.988486238737150913e-01
5.195932075160141217e+00,9.988525669238708105e-01
5.268097798426254030e+00,9.988520253467207954e-01
5.340263521692367732e+00,9.988471202335428289e-01
5.412429244958479657e+00,9.988384613520312483e-01
5.484594968224593359e+00,9.988277484233615278e-01
5.556760691490706172e+00,9.988194079063902331e-01
5.628926414756819874e+00,9.988166914717190314e-01
5.701092138022932687e+00,9.988229708504894333e-01
5.773257861289046389e+00,9.988403097565324851e-01
5.845423584555158314e+00,9.988649068072895654e-01
5.917589307821271127e+00,9.988889684499430155e-01
5.989755031087384829e+00,9.989035763031641757e-01
6.061920754353497642e+00,9.989012973251142347e-01
6.134086477619611344e+00,9.988783383059051113e-01
6.206252200885723269e+00,9.988424314129037418e-01
6.278417924151836971e+00,9.988009078360921000e-01
6.350583647417949784e+00,9.987636973594180567e-01
6.422749370684063486e+00,9.987375141461074524e-01
6.494915093950176299e+00,9.987243986243252714e-01
6.567080817216290001e+00,9.987238820565943476e-01
6.639246540482401926e+00,9.987317366538221997e-01
6.711412263748515628e+00,9.987460824982983265e-01
6.783577987014628441e+00,9.987644450660208006e-01
6.855743710280742143e+00,9.987860720918267932e-01
6.927909433546854956e+00,9.988098543621489744e-01
7.000075156812967769e+00,9.988349090127542906e-01
7.072240880079080583e+00,9.988613491447260184e-01
7.144406603345193396e+00,9.988884838516081111e-01
7.216572326611307098e+00,9.989158915295045515e-01
7.288738049877419911e+00,9.989425906241105046e-01
7.360903773143533613e+00,9.989671547519765049e-01
7.433069496409645538e+00,9.989882841218309384e-01
7.505235219675759240e+00,9.990040981464406444e-01
7.577400942941872053e+00,9.990132082022687987e-01
7.649566666207985755e+00,9.990137474880877999e-01
7.721732389474098568e+00,9.990046712802627127e-01
7.793898112740212270e+00,9.989869694667439237e-01
7.866063836006324195e+00,9.989608147380077963e-01
7.938229559272437896e+00,9.989300681541646298e-01
8.010395282538551598e+00,9.988983459002220844e-01
8.082561005804663523e+00,9.988707740312273708e-01
8.154726729070777225e+00,9.988517719821906615e-01
8.226892452336889150e+00,9.988411053669629114e-01
8.299058175603002852e+00,9.988370220336422189e-01
8.371223898869116553e+00,9.988320243484499761e-01
8.443389622135228478e+00,9.988201352023549084e-01
8.515555345401342180e+00,9.987977134773805554e-01
8.587721068667454105e+00,9.987658892318364012e-01
8.659886791933567807e+00,9.987289478738246018e-01
8.732052515199681508e+00,9.986937222222421751e-01
8.804218238465795210e+00,9.986651433213626916e-01
8.876383961731907135e+00,9.986429547360957670e-01
8.948549684998020837e+00,9.986246395142575061e-01
9.020715408264134538e+00,9.986052735274569825e-01
9.092881131530248240e+00,9.985816847565378573e-01
9.165046854796360165e+00,9.985512986951401437e-01
9.237212578062472090e+00,9.985123377650112486e-01
9.309378301328585792e+00,9.984649744340871047e-01
9.381544024594697717e+00,9.984113850625135900e-01
9.453709747860811419e+00,9.983537054840615488e-01
9.525875471126925120e+00,9.982945825222213632e-01
