z,potential
1.407231603689204746e+01,9.986876374237169118e-01
1.414448176015816117e+01,9.985699988741520983e-01
1.421664748342427487e+01,9.984662035679990888e-01
1.428881320669038679e+01,9.983806956769705199e-01
1.436097892995650049e+01,9.983171280426218486e-01
1.443314465322261420e+01,9.982780302145919382e-01
1.450531037648872790e+01,9.982646742120440120e-01
1.457747609975483982e+01,9.982767232146076974e-01
1.464964182302095352e+01,9.983126330531484349e-01
1.472180754628706723e+01,9.983693798854709200e-01
1.479397326955318093e+01,9.984433857203435236e-01
1.486613899281929108e+01,9.985297175482678034e-01
1.493830471608540478e+01,9.986219466234701470e-01
1.501047043935151848e+01,9.987158829226696621e-01
1.508263616261763040e+01,9.988056767797536262e-01
1.515480188588374411e+01,9.988871164489259158e-01
1.522696760914985781e+01,9.989580098736646763e-01
1.529913333241597151e+01,9.990175471485223113e-01
1.537129905568208343e+01,9.990662535837008251e-01
1.544346477894819714e+01,9.991045697016643912e-01
1.551563050221431084e+01,9.991313299040061047e-01
1.558779622548042454e+01,9.991443887174459304e-01
1.565996194874653469e+01,9.991438549383000467e-01
1.573212767201264839e+01,9.991295304355579665e-01
1.580429339527876209e+01,9.991079983710736689e-01
1.587645911854487579e+01,9.990883190157896498e-01
1.594862484181098772e+01,9.990792243655868266e-01
1.602079056507710320e+01,9.990891837105764228e-01
1.609295628834321334e+01,9.991185360957013373e-01
1.616512201160932705e+01,9.991642589527350848e-01
1.623728773487544075e+01,9.992187042422139287e-01
1.630945345814155445e+01,9.992743610373979735e-01
1.638161918140766815e+01,9.993239122374919514e-01
1.645378490467377830e+01,9.993613428961040102e-01
1.652595062793989200e+01,9.993833405744328990e-01
1.659811635120600570e+01,9.993885133272555343e-01
1.667028207447211940e+01,9.993758698039277855e-01
1.674244779773823311e+01,9.993468805484468920e-01
1.681461352100434681e+01,9.993032468861519080e-01
1.688677924427045696e+01,9.992476715685428834e-01
1.695894496753657066e+01,9.991833006563904940e-01
1.703111069080268436e+01,9.991137689027899116e-01
1.710327641406879806e+01,9.990426147647651911e-01
1.717544213733490821e+01,9.989738474700922133e-01
1.724760786060102546e+01,9.989103288002472159e-01
1.731977358386713561e+01,9.988562828776675895e-01
1.739193930713324932e+01,9.988116368026518366e-01
1.746410503039936302e+01,9.987768733380706365e-01
1.753627075366547672e+01,9.987506285686839069e-01
1.760843647693159042e+01,9.987256165858352519e-01
1.768060220019770057e+01,9.986952115637921512e-01
1.775276792346381427e+01,9.986513360768307646e-01
1.782493364672992797e+01,9.985878475651670527e-01
1.789709936999604167e+01,9.985071388031668826e-01
1.796926509326215182e+01,9.984203878600907967e-01
1.804143081652826908e+01,9.983439483882174947e-01
1.811359653979437923e+01,9.982935280349948259e-01
1.818576226306049648e+01,9.982713010116704977e-01
1.825792798632660663e+01,9.982659070644837040e-01
1.833009370959272033e+01,9.982540941358142295e-01
1.840225943285883403e+01,9.982123355624253902e-01
1.847442515612494418e+01,9.981214194187352229e-01
1.854659087939105788e+01,9.979776008362574169e-01
1.861875660265717158e+01,9.977890491229503001e-01
1.869092232592328529e+01,9.975717441504704519e-01
1.876308804918939543e+01,9.973435512488896260e-01
1.883525377245551269e+01,9.971196642348104655e-01
1.890741949572162284e+01,9.969143770682507011e-01
1.897958521898774009e+01,9.967363694544831842e-01
1.905175094225385024e+01,9.965915512479075478e-01
1.912391666551996394e+01,9.964824506661401626e-01
1.919608238878607764e+01,9.964077325126111662e-01
1.926824811205218779e+01,9.963639616014300371e-01
1.934041383531830149e+01,9.963451232998203899e-01
1.941257955858441520e+01,9.963428739922022270e-01
1.948474528185052890e+01,9.963474825241864785e-01
1.955691100511664260e+01,9.963487993748338933e-01
1.962907672838275630e+01,9.963364199420540190e-01
1.970124245164886645e+01,9.963026346702755776e-01
1.977340817491498370e+01,9.962445464570552911e-01
1.984557389818109385e+01,9.961645785955113297e-01
1.991773962144720755e+01,9.960734462696105851e-01
1.998990534471332126e+01,9.959880028610309521e-01
2.006207106797943140e+01,9.959290195909096255e-01
2.013423679124554511e+01,9.959179976340966078e-01
2.020640251451165881e+01,9.959635556407002710e-01
2.027856823777777251e+01,9.960612145774280224e-01
2.035073396104388621e+01,9.961906434684176803e-01
2.042289968430999991e+01,9.963228919591120558e-01
2.049506540757611006e+01,9.964351902873860301e-01
2.056723113084222732e+01,9.965166979606596698e-01
2.063939685410833746e+01,9.965693087107470038e-01
2.071156257737445117e+01,9.965985775186976259e-01
2.078372830064056487e+01,9.966007265343045374e-01
2.085589402390667502e+01,9.965516851717366453e-01
2.092805974717278872e+01,9.964101715144144666e-01
2.100022547043890242e+01,9.961247474379314459e-01
2.107239119370501612e+01,9.956446650592390979e-01
2.114455691697112982e+01,9.949309079901687003e-01
2.121672264023724352e+01,9.939548197258530893e-01
2.128888836350335367e+01,9.927037131220909361e-01
